white,Any,"Acrylic Padlock",,,,,07034c0f
white,Any,"China padlock (granite look)",,Pin-tumbler,Unguttable,,3ac43ea8
white,Any,"Cutaway Lock",,,,,901b35b2
white,Any,"Lever Generic/Unknown Cabinet lock","1 or 2 levers",Lever,,,5dc117cd
white,Any,"lock with any tool",,,,,b22bdd44
white,ABUS,45,"laminated padlock",Pin-tumbler,Unguttable,,5ff7457c
white,Brinks,"R80 disk lock",,Pin-tumbler,Unguttable,,a8c9aa08
white,"Master Lock",#1,,Pin-tumbler,Unguttable,,5a91e6a5
white,"Master Lock",#2,"Laminated brass",Pin-tumbler,Unguttable,,38289b36
white,"Master Lock",#3,,Pin-tumbler,Unguttable,,562e964e
white,"Master Lock",#4,"Laminated brass",Pin-tumbler,Unguttable,,dff62f52
white,"Master Lock",#5,,Pin-tumbler,Unguttable,,c800618f
white,"Master Lock",#6,"Laminated brass",Pin-tumbler,Unguttable,,f10deed6
white,"Master Lock",#7,,Pin-tumbler,Unguttable,,4bbeeb48
white,"Master Lock",#8,"Laminated brass",Pin-tumbler,Unguttable,,79adf554
white,Timpson,"Special Brass Padlock",,Pin-tumbler,Unguttable,,36d4123c
white,,"Tri-Nine Padlock",,Pin-tumbler,Unguttable,,2201a1b1
yellow,Any,"Lever Generic/Unknown Cabinet lock","3 levers",Lever,,,ba5584ca
yellow,Any,"Lever Generic/Unknown Mortice lock","3 levers",Lever,,,be3fef00
yellow,ABUS,55/30,,Pin-tumbler,Unguttable,,c7d2eca1
yellow,ABUS,"64Ti Titalium","4 pins or fewer",Pin-tumbler,Unguttable,,693abee0
yellow,ABUS,65/35,"or smaller",Pin-tumbler,Unguttable,,1ce31c29
yellow,ABUS,84/35,,Pin-tumbler,Unguttable,,805fc883
yellow,ABUS,"EC75 75/30",,Dimple,Unguttable,,2484ce70
yellow,ABUS,MyLock,,Pin-tumbler,Unguttable,,423dbebe
yellow,ABUS,"Nautic T84MB","40mm and up",Pin-tumbler,,,9d830052
yellow,ACE,"laminated 40mm padlock",,Pin-tumbler,Unguttable,,abdf3acd
yellow,,ADW,,Pin-tumbler,Unguttable,,3a2ed5f3
yellow,"American Lock",A5200,"bump stop model: all standards + 1 anti-bump pin",Pin-tumbler,Guttable,,a0d1bf97
yellow,,ARFE,,Pin-tumbler,Unguttable,,a1581afe
yellow,,Befa,,Pin-tumbler,,,32244161
yellow,,Bond,,Pin-tumbler,,,4062aefb
yellow,,Braslock,,Pin-tumbler,Unguttable,,d6d43c00
yellow,Brinks,"Brass Padlocks",,Pin-tumbler,Unguttable,,58307da0
yellow,,BSS,,Pin-tumbler,,,50fbf666
yellow,"Burg Wächter","Alutitan 770 40",,Pin-tumbler,,,4d7dd1a0
yellow,"Burg Wächter",C-Line,,Pin-tumbler,Unguttable,,6ca3420d
yellow,"Burg Wächter",Look,,Pin-tumbler,,,7f56acb9
yellow,"Burg Wächter",SecuLock,,Pin-tumbler,,,b517a7ef
yellow,"Burg Wächter",Yacht,,Pin-tumbler,,,9a5b3f53
yellow,,Börkey,,Pin-tumbler,,,90267144
yellow,,Casesa,,,,,919755fe
yellow,,CIB,,,,,e38b7c57
yellow,,Citadel,,Pin-tumbler,,,4938772f
yellow,,Cotica,,,,,6719b451
yellow,,"Dulimex (DX)",,,,,a8d996c0
yellow,Eagle,37110,,Pin-tumbler,,,2f634d15
yellow,Egret,"5-pin padlock",,Pin-tumbler,Unguttable,,75d883a0
yellow,,EMR,,Pin-tumbler,,,f24c2d25
yellow,ERA,mortice,"2 lever",Lever,,,c2306424
yellow,,Esco,,Pin-tumbler,,,71eea804
yellow,,Faithfull,,,,,1376f489
yellow,,Favour,,Pin-tumbler,,,ca5b08b4
yellow,,Fermod,,,,,d93c1ed7
yellow,,FF,,Pin-tumbler,,,5e3f057f
yellow,,FFF,,Pin-tumbler,,,17ce6273
yellow,,Flora,,,,,e8feb6f3
yellow,,Glip,,,,,5599bd8a
yellow,,Guri,,,,,234de3bc
yellow,,HiK,,,,,9a7e1167
yellow,,HP+,,Pin-tumbler,,,28f1b592
yellow,,IBAU,,,,,b4d52d31
yellow,,Kinzo,,Pin-tumbler,,,88402cd0
yellow,,Koala,,Pin-tumbler,,,7eaffc73
yellow,,Laperche,,Pin-tumbler,,,4773e1fa
yellow,,Lifetime,,,,,7685aed5
yellow,MAKO,227,,Pin-tumbler,Unguttable,,7c79137c
yellow,,Mannesmann,,Pin-tumbler,Unguttable,,1cad075e
yellow,"Master Lock",130,,Pin-tumbler,Unguttable,,866660d6
yellow,"Master Lock,Master Lock","140,141",,Pin-tumbler,Unguttable,,2455f0ae
yellow,"Master Lock","4140 (V-line)",,Pin-tumbler,Unguttable,,6af6f704
yellow,"Master Lock",930,,Pin-tumbler,Guttable,,759d0d0f
yellow,"Master Lock",DG,,Pin-tumbler,Unguttable,,df703850
yellow,"Master Lock",Magnum,,Pin-tumbler,Unguttable,,d5053e6d
yellow,,McGeiz,,,,,2936bb00
yellow,,Mecanimax,,,,,d02d36d5
yellow,,Metal,,Pin-tumbler,,,6c365304
yellow,,Modeco,,,,,ae031589
yellow,,"Multi XL",,,,,8824c0e5
yellow,,Multicar,,,,,6d9fbd4a
yellow,,Owa,,,,,2924aa76
yellow,,"Power Line",,,,,30b60f60
yellow,,Santos,,Pin-tumbler,,,8e2d57b1
yellow,Schlage,Mortise,,Pin-tumbler,,,40f7d7c7
yellow,"Smith and Locke,","Mortise, non-British Standard","3 lever",Lever,,,d4299b24
yellow,Squire,440,"4 lever, pin key",Lever,,,a460c971
yellow,Squire,660,"4 lever",Lever,,,920b7da1
yellow,Squire,Defiant,"5 lever",Lever,,,ed713b97
yellow,,Stabilit,,Pin-tumbler,,,9fd77c9a
yellow,,Südmetall,,,,,4ec9a150
yellow,,Tara,,,,,ff837451
yellow,TESA,TE-5,,Pin-tumbler,Tapered,,7d9d715d
yellow,,Wolfdog,,Pin-tumbler,Unguttable,,4b32e9dd
orange,ABUS,45/50,brass,Pin-tumbler,Unguttable,,67b285d9
orange,ABUS,"54TI/50 Titalium",,Pin-tumbler,Unguttable,,16e9d2ab
orange,ABUS,55/40,"40 mm and up (ex: abus 55/50)",Pin-tumbler,Unguttable,,632f4069
orange,ABUS,60/50,,Pin-tumbler,Unguttable,,d7188e81
orange,ABUS,"64Ti Titalium","5 pins or more (40mm and larger)",Pin-tumbler,Unguttable,,52f1e117
orange,ABUS,65/40,"40mm or larger (ex: 65/50)",Pin-tumbler,Unguttable,,a0e50505
orange,ABUS,83/40,,Pin-tumbler,Guttable,,3653f376
orange,ABUS,85,,Pin-tumbler,Unguttable,,683e4f33
orange,ABUS,"Buffo (Ecoline)",,Pin-tumbler,,,d7479fd6
orange,ABUS,C51,,Pin-tumbler,,,afd3e51d
orange,"ABUS,ABUS,ABUS","C73,C83,C90","old pinning: mostly standard keypins, normal spool drivers",Pin-tumbler,,,95a9d73c
orange,ABUS,Cisa,,Pin-tumbler,,,bc1ed715
orange,ABUS,Diskus,"normal pin tumblr, not dimple",Pin-tumbler,,,80667814
orange,ABUS,Monobloc,,Pin-tumbler,,,204d85a7
orange,ABUS,"Ti12 Titalium",,Pin-tumbler,,,1050a58c
orange,BASI,CO,,Pin-tumbler,,,aa15b066
orange,BASI,ST,,Pin-tumbler,,,7b4ce02a
orange,Brinks,"House Key",,Pin-tumbler,Guttable,,d49f60fe
orange,Brinks,"Weatherproof 44mm laminated padlock",,Pin-tumbler,Unguttable,,9215a45f
orange,"Burg Wächter",Boccia,,Dimple,Unguttable,,171f76e9
orange,CES,KB,,Pin-tumbler,,,1a8afeac
orange,CES,PS5,,Pin-tumbler,,,53732c41
orange,CES,"WM 5",,Dimple,,,43fd87ae
orange,CES,WZ,,Dimple,,,e89aa47e
orange,,CFG,,Pin-tumbler,,,6758c30e
orange,Cocraft,"6-Pin Padlock","Non guttable version",Pin-tumbler,Unguttable,,3b3e78b0
orange,Corbin,"Arco Cromato",,Pin-tumbler,Unguttable,,99057c44
orange,DOM,"333 RNT (standard cylinder)",,Pin-tumbler,,,eaba4dd9
orange,,Eclipse,"British Standard - 5 lever",Lever,,,677afce6
orange,,"Eurospec (E*S)","British Standard - 5 lever",Lever,,,26315d0f
orange,,F3,,Pin-tumbler,,,d98f267e
orange,FAB,100,,Pin-tumbler,,,140d2878
orange,Fanal,"5-pin padlock",,Pin-tumbler,Unguttable,,5802cfb9
orange,,FCV,,Pin-tumbler,,,0795d01a
orange,,FUG,,Pin-tumbler,,,d7c8eec1
orange,,FXL,,Pin-tumbler,,,0756b9e9
orange,Garrison,"40mm Brass Padlock",,Pin-tumbler,,,5b5c6a9e
orange,Gege,ANS-2,,Pin-tumbler,"Hellish keyway",,92f98042
orange,,Gloss,,,,,836c5ce3
orange,GTV,Padlock,,Pin-tumbler,,,ed0e0d36
orange,IKON,DS,,Pin-tumbler,,,2bdcb8c7
orange,ISEO,F5,,Pin-tumbler,,,d261a3ba
orange,Kasp,"160 series Diskus",,Pin-tumbler,,,9bc8809e
orange,Lockwood,110/40,"40mm or bigger",Pin-tumbler,,,a5a164ad
orange,"Master Lock",150,,Pin-tumbler,Unguttable,,efc01233
orange,"Master Lock","4150 (V-line)",,Pin-tumbler,Unguttable,,9441e2cc
orange,"Master Lock",532,,Pin-tumbler,Unguttable,,e2e15f47
orange,"Master Lock,Master Lock,Master Lock","570,575,576",,Pin-tumbler,Unguttable,,9ca2c109
orange,,S&S,,,,,9f832458
orange,Sargent,Mortise,PT,Pin-tumbler,,,4071176d
orange,,SIB,,Pin-tumbler,,,74f65a9c
orange,,SMB,,,,,029fef1f
orange,,Snowstar,,,,,f88a999d
orange,,SOLXD,,Pin-tumbler,,,0754f036
orange,,Starlet,,Pin-tumbler,,,f2a8a932
orange,Techpro,"Tech 5",,Pin-tumbler,,,78205898
orange,,TOP,,Pin-tumbler,,,665f75f2
orange,Trelock,"Euro Cylinder",,Pin-tumbler,,,7b65effd
orange,,Trimas,,Pin-tumbler,,,ecd83598
orange,,Urbis,,,,,1be21a18
orange,,VEB,,,,,e524ce27
